DATE,Oil_price,GDP,Price_level,Maj_event,Interest_Rate,Reason for value 1
01/02/2016,33.19809524,16678,102.8969166,0,0.38,
01/03/2016,39.07173913,16678.676,103.1146099,0,0.36,
01/04/2016,42.24761905,16803.386,103.2791035,0,0.37,
01/05/2016,47.13272727,16865.09,103.6222039,0,0.37,
01/06/2016,48.47818182,16936.228,103.669748,0,0.38,
01/07/2016,45.07095238,17027.113,103.9158938,0,0.39,
01/08/2016,46.14434783,17117.001,103.9760939,1,0.4,OPEC meeting
01/09/2016,46.18863636,17050.119,104.0357235,1,0.4,
01/10/2016,49.73238095,17144.332,104.0934078,0,0.4,
01/11/2016,46.43590909,17154.178,104.1844919,0,0.41,
01/12/2016,54.06636364,17125.535,104.1690524,0,0.54,
01/01/2017,54.89272727,17276.585,103.7740529,0,0.65,
01/02/2017,55.4935,17352.951,104.0623647,0,0.66,
01/03/2017,51.96826087,17212.546,104.5024995,0,0.79,
01/04/2017,53.0635,17398.249,104.3650179,0,0.9,
01/05/2017,50.87086957,17348.066,104.7795412,0,0.91,
01/06/2017,46.89454545,17396.51,104.8843193,0,1.04,
01/07/2017,48.69,17405.64,105.0010237,0,1.15,
01/08/2017,51.36956522,17409.143,105.0335586,0,1.16,
01/09/2017,55.16285714,17496.774,104.9298476,0,1.15,
01/10/2017,57.61772727,17486.984,104.9559468,0,1.15,
01/11/2017,62.57545455,17425.554,105.0054968,0,1.16,
01/12/2017,64.21190476,17475.521,104.9743729,0,1.3,
01/01/2018,68.98652174,17547.682,104.8338952,1,1.41,Pipeline failure
01/02/2018,65.422,17517.675,104.8152217,0,1.42,
01/03/2018,66.44545455,17631.37,105.0332975,0,1.51,
01/04/2018,71.62761905,17636.804,105.444177,0,1.69,
01/05/2018,76.64695652,17590.01,105.6678631,1,1.7,Anticipated U.S reponse to chemical weapons in Syria
01/06/2018,75.19142857,17629.075,105.7961407,0,1.82,
01/07/2018,74.43772727,17630.602,105.8551717,0,1.91,
01/08/2018,73.12869565,17740.06,105.8436431,0,1.91,
01/09/2018,78.86,17802.74,106.0889861,0,1.95,
01/10/2018,80.47043478,17740.799,106.3222208,0,2.19,
01/11/2018,65.17363636,17832.57,106.4418704,0,2.2,
01/12/2018,56.46380952,17864.308,106.6953777,0,2.27,
01/01/2019,59.2726087,17861.288,106.9359231,0,2.4,
01/02/2019,64.134,17879.394,107.0420547,0,2.4,
01/03/2019,66.41095238,17949.339,107.0965988,0,2.41,
01/04/2019,71.19681818,17903.313,107.2594458,1,2.42,Trump threatens tarriffs
01/05/2019,70.52652174,18005.295,107.3427171,0,2.39,
01/06/2019,63.296,18082.05,107.5010522,0,2.38,
01/07/2019,64,18081.485,107.5851043,0,2.4,
01/08/2019,59.24727273,18109.076,107.8497252,0,2.13,
01/09/2019,62.33,18188.359,108.2698308,0,2.04,
01/10/2019,59.37,18195.471,108.5133359,0,1.83,
01/11/2019,62.74428571,18326.201,108.6505842,0,1.55,
01/12/2019,65.85454545,18368.662,108.8422102,0,1.55,
01/01/2020,63.60217391,18398.165,109.0011807,0,1.55,
01/02/2020,55.0035,18490.043,109.2317171,0,1.58,
01/03/2020,32.98181818,18420.804,109.5497192,0,0.65,
01/04/2020,23.33727273,18547.979,109.9345521,0,0.05,
01/05/2020,31.0247619,18595.749,110.2901129,0,0.05,
01/06/2020,39.92727273,18626.501,110.4746715,0,0.08,
01/07/2020,42.81347826,18634.231,110.5025179,0,0.09,
01/08/2020,44.25714286,18721.718,110.520817,0,0.1,
01/09/2020,41.08545455,18683.114,110.7664128,0,0.09,
01/10/2020,40.47,18751.318,111.062044,0,0.09,
01/11/2020,43.22428571,18665.923,111.324923,1,0.09,Vaccine announced
01/12/2020,49.85434783,18746.92,111.1358736,0,0.09,
01/01/2021,54.55142857,18847.69,111.3301687,0,0.09,
01/02/2021,61.9635,18821.976,111.517075,0,0.08,
01/03/2021,65.18695652,18830.132,111.6927472,0,0.07,
01/04/2021,64.77,18912.882,112.0816262,0,0.07,
01/05/2021,68.04333333,18961.422,112.2012492,0,0.06,
01/06/2021,73.06727273,19073.393,112.1718915,1,0.08,
01/07/2021,74.38681818,19093.505,112.3925412,1,0.1,Pandemic appears to improve
01/08/2021,70.02090909,19109.06,112.5470152,0,0.09,
01/09/2021,74.59818182,19135.531,112.610849,0,0.08,
01/10/2021,83.65,19165.117,112.8845947,0,0.08,
